DateTime,AddedIPs,RemovedIPs
1539750509,17,0
1539752183,15,24
1539753264,13,7
1539754105,12,1
1539755781,16,21
1539756934,16,15
1539758121,15,16
1539759941,18,17
1539760462,24,2
1539761306,12,1
1539762985,16,26
1539764912,28,20
1539766149,12,23
1539767668,21,15
1539768973,15,15
1539770125,13,7
1539771264,16,9
1539772529,19,26
1539772976,6,5
1539773795,6,0
1539774926,12,13
1539776155,13,20
1539777331,15,8
1539778524,26,18
1539780024,24,19
1539780981,10,8
1539782137,16,15
1539783328,28,23
1539784635,18,2
1539786027,15,14
1539787235,20,16
1539788706,13,16
1539789812,13,2
1539790103,4,0
1539791648,11,23
1539792921,7,11
1539794542,21,25
1539795384,12,0
1539796458,18,24
1539798141,24,20
1539798984,8,0
1539800058,8,26
1539801285,5,24
1539802577,15,0
1539803660,13,13
1539804797,12,11
1539806119,23,4
1539807323,68,27
1539808829,75,22
1539809957,30,20
1539810858,16,2
1539812426,25,24
1539813378,16,0
1539814528,12,17
1539816028,21,16
1539816979,11,6
1539818133,8,19
1539819758,20,23
1539821424,23,20
1539822498,10,1
1539824198,19,30
1539826115,14,19
1539827725,18,58
1539828859,11,11
1539830184,11,24
1539831589,20,20
1539832827,12,1
1539834035,8,23
1539834988,3,2
1539836907,16,21
1539838586,13,20
1539840504,12,27
1539843261,17,55
1539845132,20,39
1539845781,7,2
1539847704,15,18
1539848573,6,28
1539850461,23,27
1539851758,8,28
1539852933,5,6
1539854069,11,29
1539855539,13,34
1539856579,11,26
1539857667,32,29
1539858513,33,1
1539860184,80,27
1539861324,77,19
1539862828,44,43
1539864636,61,104
1539865819,33,140
1539866564,19,40
1539867923,31,91
1539869085,21,2
1539870327,21,228
1539871781,29,139
1539872904,20,4
1539873742,15,160
1539875663,34,30
1539879260,34,51
1539880943,28,30
1539882858,39,38
1539884424,19,30
1539885379,8,13
1539886533,16,22
1539888028,29,28
1539889519,27,34
1539890717,24,1
1539891918,30,22
1539893211,21,27
1539894511,31,2
1539896182,46,43
1539897331,20,16
1539898940,27,30
1539900632,48,35
1539900863,3,2
1539902124,16,19
1539903323,12,9
1539904462,11,33
1539905304,15,0
1539908062,43,49
1539909627,14,23
1539910581,14,6
1539912503,25,24
1539913360,7,24
1539914573,9,18
1539915260,4,0
1539917790,32,45
1539918939,16,15
1539919706,10,1
1539921400,22,36
1539922460,10,19
1539924154,16,32
1539926064,20,19
1539927629,16,29
1539929420,13,28
1539931358,18,50
1539933266,14,19
1539934118,8,1
1539935782,27,34
1539937702,37,18
1539938562,20,41
1539939922,33,17
1539940463,10,0
1539942150,74,31
1539942983,27,5
1539944907,32,24
1539947124,48,58
1539947664,21,1
1539948512,30,1
1539949357,34,41
1539951264,42,24
1539952110,20,5
1539953425,31,48
1539954635,29,22
1539955828,28,29
1539956967,24,13
1539958231,23,17
1539960027,42,24
1539960978,14,4
1539962083,26,20
1539962903,15,2
1539964579,34,43
1539966516,43,25
1539968134,31,27
1539969333,28,23
1539971117,24,28
1539972860,37,20
1539973737,20,7
1539974554,11,22
1539975920,18,13
1539977313,29,5
1539978149,23,18
1539979827,29,46
1539980065,9,2
1539981325,26,24
1539982578,28,3
1539983724,21,12
1539984925,21,24
1539986180,15,4
1539987261,15,18
1539988523,13,18
1539989700,25,10
1539991702,29,17
1539993381,17,36
1539994468,16,14
1539995800,20,15
1539996143,5,1
1539996983,13,3
1539998134,10,23
1539999661,27,53
1540001663,33,28
1540003230,21,22
1540004724,18,23
1540005265,7,0
1540006942,13,22
1540007783,9,1
1540008884,14,27
1540010566,27,29
1540011936,15,13
1540013882,25,26
1540015767,26,21
1540016064,6,0
1540017636,25,16
1540019667,28,23
1540021231,22,27
1540022594,23,14
1540024100,22,3
1540024943,7,23
1540025782,11,0
1540026921,13,16
1540027712,5,2
1540028548,11,24
1540030238,16,37
1540030462,2,0
1540032024,15,87
1540033172,14,18
1540034429,21,5
1540035989,13,49
1540037437,31,22
1540038925,17,17
1540040184,18,1
1540041321,15,23
1540042952,18,33
1540044622,19,14
1540044861,1,0
1540046123,14,20
1540046550,5,7
1540048461,27,22
1540050148,22,28
1540051830,20,33
1540052055,2,0
1540053179,14,30
1540054859,12,34
1540056025,48,1
1540057131,18,28
1540057353,3,5
1540058177,11,2
1540059261,10,28
1540060521,17,34
1540062217,25,24
1540064118,27,26
1540065376,14,4
1540067312,26,38
1540068714,16,28
1540070071,10,23
1540070916,8,1
1540072580,36,44
1540073723,13,14
1540075360,12,46
1540077268,19,29
1540078107,10,1
1540079779,23,27
1540080858,7,26
1540082560,14,36
1540083925,12,12
1540085428,25,20
1540086160,6,15
1540087830,48,19
1540088060,2,2
1540089325,21,32
1540090581,11,3
1540091735,12,28
1540092523,7,2
1540095038,31,49
1540095259,3,0
1540096822,31,22
1540097778,19,7
1540098868,14,17
1540099713,9,3
1540101387,17,18
1540103305,29,16
1540104927,14,28
1540106066,10,15
1540107742,15,33
1540109431,27,30
1540110504,17,1
1540112178,19,42
1540113260,9,21
1540114829,25,26
1540116858,20,34
1540117699,13,2
1540119920,21,109
1540120471,4,0
1540121738,16,25
1540123786,23,30
1540125749,20,35
1540127125,16,22
1540128301,15,1
1540129819,12,34
1540131067,39,31
1540132952,20,46
1540133783,4,1
1540134865,14,23
1540136548,23,44
1540138231,14,20
1540139216,4,0
1540140979,23,38
1540142907,20,16
1540144339,18,27
1540145717,12,32
1540146518,6,1
1540147352,10,35
1540149264,47,16
1540150115,24,0
1540151954,49,64
1540153709,39,4
1540155386,31,27
1540157307,34,37
1540159836,36,110
1540161055,10,24
1540162581,24,11
1540163728,16,19
1540165226,18,24
1540167027,38,31
1540167258,3,0
1540168828,17,32
1540169780,14,25
1540170939,12,21
1540172429,15,27
1540174239,20,27
1540175305,14,3
1540176931,15,22
1540178062,10,24
1540178903,6,1
1540180585,23,35
1540181660,14,21
1540182509,13,1
1540183361,14,38
1540185260,26,18
1540186105,8,3
1540188633,71,60
1540189713,21,1
1540191028,26,30
1540192243,10,28
1540193315,21,2
1540194178,14,32
1540196062,31,21
1540197758,20,37
1540198586,16,3
1540200510,34,10
1540202047,19,32
