DateTime,AddedIPs,RemovedIPs
1539942311,705,1230
1539943211,746,805
1539944110,719,457
1539945011,676,652
1539945911,691,682
1539946811,669,1266
1539947710,709,437
1539948611,738,701
1539949511,664,920
1539950411,634,713
1539951310,638,338
1539952210,785,211
1539953110,737,270
1539954010,800,343
1539954910,945,231
1539955810,972,371
1539956710,885,305
1539957610,913,277
1539958511,874,405
1539959411,948,154
1539960310,911,99
1539961209,884,270
1539962110,869,235
1539963010,764,274
1539964809,1896,695
1539965710,947,267
1539966609,964,295
1539967510,947,240
1539968410,966,267
1539969310,853,125
1539970210,801,247
1539971110,795,346
1539972909,1601,1246
1539973810,784,663
1539974709,716,658
1539975609,735,725
1539976509,834,848
1539977410,762,767
1539978309,678,756
1539979210,798,857
1539980109,831,707
1539981008,763,611
1539981908,657,484
1539982808,698,588
1539983710,691,549
1539984609,724,678
1539985509,613,645
1539986409,597,580
1539987308,687,787
1539988208,648,747
1539989106,596,665
1539990007,616,650
1539990907,738,654
1539991807,658,590
1539992707,588,654
1539993607,579,680
1539994507,536,645
1539995407,663,737
1539996306,604,516
1539997207,687,647
1539998106,725,588
1539999006,780,630
1539999906,743,526
1540000807,891,639
1540001706,841,658
1540002605,782,598
1540003505,751,619
1540004404,668,553
1540005304,821,713
1540006205,694,616
1540007105,644,582
1540008005,719,550
1540008905,803,609
1540009805,806,769
1540010705,741,746
1540011605,827,844
1540012505,992,1024
1540013405,929,833
1540014305,849,701
1540015205,828,750
1540016105,774,669
1540017005,910,849
1540017905,674,740
1540018804,685,712
1540019705,610,659
1540020605,619,629
1540021505,610,569
1540022405,628,590
1540023304,615,600
1540024204,771,927
1540025105,627,701
1540026004,692,755
1540026905,750,786
1540028704,1578,2100
1540029605,634,799
1540030505,627,818
1540031405,634,778
1540032305,584,756
1540033204,501,588
1540034105,520,672
1540035004,530,724
1540035905,626,934
1540036805,571,554
1540037705,545,488
1540038605,584,647
1540039505,661,749
1540040405,646,690
1540041305,624,604
1540042205,587,600
1540043105,657,597
1540044005,623,538
1540044904,730,596
1540045805,746,663
1540046705,658,635
1540047604,633,660
1540048505,674,821
1540049405,661,731
1540050304,672,705
1540051205,609,613
1540052105,624,582
1540053005,675,539
1540053904,646,721
1540054804,626,747
1540055704,681,840
1540056605,591,741
1540057504,611,617
1540058405,829,767
1540059305,851,669
1540060205,649,520
1540061104,610,556
1540062005,602,510
1540062904,657,522
1540063804,653,547
1540064704,518,635
1540065605,547,554
1540066505,628,840
1540067405,612,672
1540068305,585,720
1540069204,632,716
1540070105,652,773
1540071005,805,1164
1540071905,673,1795
1540072804,644,1609
1540073705,664,1688
1540074604,693,2129
1540075507,648,1802
1540076406,625,1681
1540077306,624,2016
1540078207,580,2092
1540079107,600,1549
1540080007,532,1492
1540080907,619,1527
1540081807,611,971
1540082707,623,598
1540083608,579,525
1540084506,601,664
1540085407,622,654
1540086308,605,1054
1540087208,679,381
1540088107,663,627
1540089007,678,648
1540089908,673,655
1540090807,678,732
1540091709,728,757
1540092608,719,905
1540093509,662,633
1540094409,609,634
1540095309,719,681
1540096208,856,723
1540097108,772,738
1540098008,731,639
1540098909,791,856
1540099809,790,898
1540100708,714,841
1540101609,676,744
1540102510,773,604
1540103409,773,680
1540104310,719,645
1540105209,827,837
1540106109,746,844
1540107010,652,705
1540109711,2080,1969
1540110610,714,747
1540111511,714,718
1540112411,696,765
1540113310,861,832
1540114211,921,760
1540116011,1412,1411
1540116912,868,610
1540117811,845,674
1540118711,758,706
1540119611,658,576
1540120512,758,729
1540121411,833,852
1540122312,757,725
1540123210,557,928
1540124113,384,680
1540125011,783,662
1540125911,670,741
1540126812,672,447
1540127710,709,366
1540128612,747,555
1540129511,754,556
1540130410,706,529
1540131311,714,559
1540132211,771,481
1540133111,697,666
1540134011,686,534
1540134912,759,414
1540135808,791,339
1540136710,694,362
1540137610,646,563
1540139411,1471,1564
1540140311,619,1037
1540141210,904,763
1540142111,735,590
1540143011,724,538
1540143911,688,925
1540144810,631,758
1540145709,804,673
1540146611,713,872
1540147510,574,624
1540148411,716,905
1540149310,700,569
1540150210,649,431
1540151110,657,415
1540152009,600,584
1540152909,653,591
1540153809,643,864
1540154709,633,826
1540155608,578,1022
1540156508,586,1105
1540157409,664,678
1540158309,742,809
1540159211,690,648
1540160110,772,694
1540161009,806,798
1540161910,674,934
1540162810,604,621
1540163710,729,716
1540164608,757,535
1540165508,718,627
1540166408,614,555
1540167309,633,499
1540168209,669,407
1540169109,723,887
1540170009,685,659
1540170909,679,740
1540171809,663,793
1540172709,701,720
1540173609,794,1015
1540174509,786,1136
1540175408,761,952
1540176309,721,866
1540177209,750,711
1540178109,746,650
1540179008,792,696
1540179910,735,705
1540180809,685,582
1540181709,768,617
1540182610,815,759
1540183511,823,732
1540184409,762,624
1540185308,827,720
1540186210,871,617
1540187110,861,693
1540188009,794,637
1540188910,760,828
1540189809,901,752
1540190709,824,722
1540191610,812,768
1540192509,808,924
1540193409,855,1041
1540194310,691,753
1540195209,677,603
1540196109,697,741
1540197010,665,843
1540197909,644,788
1540198810,678,793
1540199710,800,789
1540200610,999,876
1540201511,831,737
1540202410,885,720
1540203309,985,479
